"","CBSA","degType","year","Cbsatotal","comp_high_any","totalawards","share"
"328",10740,"Master's and Higher",2011,2018,0,1566,0.77601585728444
"329",10740,"Master's and Higher",2012,1990,1,272,0.136683417085427
"330",10740,"Master's and Higher",2012,1990,0,1539,0.773366834170854
"331",10740,"Master's and Higher",2013,1950,0,1513,0.775897435897436
"332",10740,"Master's and Higher",2013,1950,1,254,0.13025641025641
"333",10740,"Master's and Higher",2014,2081,1,282,0.135511773185968
"334",10740,"Master's and Higher",2014,2081,0,1616,0.776549735703988
"335",10760,"Associate's and below",2010,296,1,7,0.0236486486486486
"336",10760,"Associate's and below",2010,296,0,175,0.591216216216216
"337",10760,"Associate's and below",2011,326,1,6,0.0184049079754601
"338",10760,"Associate's and below",2011,326,0,175,0.53680981595092
"339",10780,"Associate's and below",2010,2513,1,17,0.00676482292081178
"340",10780,"Associate's and below",2010,2513,0,2329,0.926780740151214
"341",10780,"Associate's and below",2011,3150,1,36,0.0114285714285714
"342",10780,"Associate's and below",2011,3150,0,2859,0.907619047619048
"343",10780,"Associate's and below",2012,3150,1,30,0.00952380952380952
"344",10780,"Associate's and below",2012,3150,0,2870,0.911111111111111
"345",10780,"Associate's and below",2013,1260,0,1134,0.9
"346",10780,"Associate's and below",2013,1260,1,7,0.00555555555555556
"347",10780,"Associate's and below",2014,1480,1,9,0.00608108108108108
"348",10780,"Associate's and below",2014,1480,0,1421,0.960135135135135
"349",10780,"Bachelor's",2010,310,0,228,0.735483870967742
"350",10780,"Bachelor's",2010,310,1,1,0.0032258064516129
"351",10780,"Bachelor's",2011,349,1,1,0.00286532951289398
"352",10780,"Bachelor's",2011,349,0,279,0.799426934097421
"353",10780,"Bachelor's",2012,360,0,291,0.808333333333333
"354",10780,"Bachelor's",2012,360,1,1,0.00277777777777778
"355",10780,"Bachelor's",2013,355,1,0,0
"356",10780,"Bachelor's",2013,355,0,292,0.822535211267606
"357",10780,"Bachelor's",2014,383,0,330,0.861618798955614
"358",10780,"Bachelor's",2014,383,1,0,0
"359",10780,"Master's and Higher",2014,107,0,1,0.00934579439252336
"360",10820,"Associate's and below",2010,874,1,52,0.0594965675057208
"361",10820,"Associate's and below",2010,874,0,762,0.871853546910755
"362",10820,"Associate's and below",2011,835,1,47,0.0562874251497006
"363",10820,"Associate's and below",2011,835,0,712,0.852694610778443
"364",10820,"Associate's and below",2012,939,1,54,0.0575079872204473
"365",10820,"Associate's and below",2012,939,0,782,0.832800851970181
"366",10820,"Associate's and below",2013,948,0,754,0.795358649789029
"367",10820,"Associate's and below",2013,948,1,59,0.0622362869198312
"368",10820,"Associate's and below",2014,868,1,54,0.0622119815668203
"369",10820,"Associate's and below",2014,868,0,694,0.799539170506912
"370",10900,"Associate's and below",2010,3936,0,3054,0.775914634146341
"371",10900,"Associate's and below",2010,3936,1,197,0.0500508130081301
"372",10900,"Associate's and below",2011,4137,0,3131,0.756828619772782
"373",10900,"Associate's and below",2011,4137,1,203,0.0490693739424704
"374",10900,"Associate's and below",2012,4075,0,2991,0.73398773006135
"375",10900,"Associate's and below",2012,4075,1,213,0.0522699386503067
"376",10900,"Associate's and below",2013,4197,0,3146,0.749583035501549
"377",10900,"Associate's and below",2013,4197,1,214,0.0509888015248987
"378",10900,"Associate's and below",2014,3614,0,2697,0.746264526840066
"379",10900,"Associate's and below",2014,3614,1,209,0.057830658550083
"380",10900,"Bachelor's",2010,4891,0,4006,0.819055407892047
"381",10900,"Bachelor's",2010,4891,1,535,0.109384583929667
"382",10900,"Bachelor's",2011,4499,1,495,0.110024449877751
"383",10900,"Bachelor's",2011,4499,0,3679,0.817737274949989
"384",10900,"Bachelor's",2012,4873,0,3970,0.814693207469731
"385",10900,"Bachelor's",2012,4873,1,544,0.111635542786784
"386",10900,"Bachelor's",2013,4756,1,591,0.124264087468461
"387",10900,"Bachelor's",2013,4756,0,3771,0.792893187552565
"388",10900,"Bachelor's",2014,4653,1,614,0.131957876638728
"389",10900,"Bachelor's",2014,4653,0,3690,0.793036750483559
"390",10900,"Master's and Higher",2010,1210,0,823,0.680165289256198
"391",10900,"Master's and Higher",2010,1210,1,234,0.193388429752066
"392",10900,"Master's and Higher",2011,1264,1,237,0.1875
"393",10900,"Master's and Higher",2011,1264,0,830,0.656645569620253
"394",10900,"Master's and Higher",2012,1365,0,949,0.695238095238095
"395",10900,"Master's and Higher",2012,1365,1,210,0.153846153846154
"396",10900,"Master's and Higher",2013,1330,1,227,0.170676691729323
"397",10900,"Master's and Higher",2013,1330,0,920,0.691729323308271
"398",10900,"Master's and Higher",2014,1228,0,840,0.684039087947883
"399",10900,"Master's and Higher",2014,1228,1,226,0.184039087947883
"400",10940,"Bachelor's",2010,258,1,9,0.0348837209302326
"401",10940,"Bachelor's",2010,258,0,238,0.922480620155039
"402",10940,"Bachelor's",2011,302,1,7,0.0231788079470199
"403",10940,"Bachelor's",2011,302,0,286,0.947019867549669
"404",10940,"Bachelor's",2012,367,1,7,0.0190735694822888
"405",10940,"Bachelor's",2012,367,0,344,0.93732970027248
"406",10940,"Bachelor's",2013,318,0,302,0.949685534591195
"407",10940,"Bachelor's",2013,318,1,2,0.00628930817610063
"408",10940,"Bachelor's",2014,314,0,295,0.939490445859873
"409",10940,"Bachelor's",2014,314,1,4,0.0127388535031847
"410",10980,"Associate's and below",2010,497,1,6,0.0120724346076459
"411",10980,"Associate's and below",2010,497,0,396,0.796780684104628
"412",10980,"Associate's and below",2011,459,0,370,0.806100217864924
"413",10980,"Associate's and below",2011,459,1,8,0.0174291938997821
"414",10980,"Associate's and below",2012,399,1,3,0.0075187969924812
"415",10980,"Associate's and below",2012,399,0,302,0.756892230576441
"416",10980,"Associate's and below",2013,382,1,15,0.0392670157068063
"417",10980,"Associate's and below",2013,382,0,285,0.746073298429319
"418",10980,"Associate's and below",2014,424,0,310,0.731132075471698
"419",10980,"Associate's and below",2014,424,1,20,0.0471698113207547
"420",11020,"Associate's and below",2010,580,1,6,0.0103448275862069
"421",11020,"Associate's and below",2010,580,0,486,0.837931034482759
"422",11020,"Associate's and below",2011,523,1,6,0.011472275334608
"423",11020,"Associate's and below",2011,523,0,497,0.950286806883365
"424",11020,"Associate's and below",2012,597,1,2,0.0033500837520938
"425",11020,"Associate's and below",2012,597,0,584,0.97822445561139
"426",11020,"Associate's and below",2013,561,1,17,0.0303030303030303
"427",11020,"Associate's and below",2013,561,0,515,0.918003565062389
